conc	count
14.4	255
20.8	459
13.1	215
8.8	153
29	595
13.7	249
21.8	416
10.8	167
18.1	342
23.7	466
18.8	262
41.2	597
12.3	256
15.8	271
27.4	646
6.4	84
8.6	105
8.1	96
12.8	219
6.7	86
40.9	239
8.2	130
30.8	438
21.8	296
46.6	599
16.4	256
21.4	270
52.4	697
16	148
14.6	239
9	79
25.2	418
26.9	472
20.8	270
15.2	193
22.1	317
6.5	85
13.8	154
14.8	266
8	104
7.8	127
20.5	354
35.2	416
25.5	435
10.3	159
15.9	250
24.2	412
39.1	1042
41.7	1006
14.6	317
19	486
24.4	566
23.2	376
11.2	97
23.8	529
17.5	136
17	137
16.9	126
12.6	115
11.6	170
8	117
15.2	389
8.6	79
13.1	144
13.8	226
17.7	276
11.8	131
8.4	124
10.9	100
16	103
29	474
25.2	531
10.6	93
16.1	315
15	301
14.1	288
13.3	268
33.6	635
45	778
13.9	97
20.5	393
23.5	381
20.9	343
52	789
44.5	718
19.2	336
10.5	191
9.2	100
12.8	201
14.6	216
27.2	208
20.8	260
15.2	278
17.1	340
11.1	116
13.3	139
9.5	203
21.2	474
12.1	233
14	329
38.6	717
38.2	695
23	409
24.6	369
27.7	412
30.3	527
40.5	695
52.1	921
6.1	52
5.6	166
3.1	28
11	423
11.2	373
